var,decision,used
year,drop,no
serial,drop,no
month,drop,no
cpsid,drop,no
asecflag,drop,no
asecwth,drop,no
mish,drop,no
numprec,drop,no
hhtenure,dummy,yes
gq,drop,no
gqtype,dummy,yes
hhintype,drop,no
cpi99,drop,no
region,dummy,yes
statefip,dummy,yes
metro,dummy,yes
metarea,drop,no
county,drop,yes
cbsasz,dummy,yes
metfips,dummy,yes
individcc,drop,yes
ownershp,dummy,yes
hhincome,drop,no
housret,numeric,yes
proptax,numeric,yes
pubhous,dummy,yes
rentsub,dummy,yes
heatsub,drop,no
heatval,drop,no
foodstmp,drop,no
stampno,drop,no
stampmo,drop,no
atelunch,drop,no
lunchsub,dummy,yes
frelunch,drop,no
stampval,drop,no
faminc,drop,no
unitsstr,dummy,yes
phone,dummy,yes
nfams,drop,yes
ncouples,drop,yes
nmothers,drop,yes
nfathers,drop,yes
marbasecidh,drop,no
asecoverh,drop,no
hrhhid,drop,no
hrhhid2,drop,no
hseq,drop,no
hhrespln,drop,no
pernum,drop,no
cpsidp,drop,no
asecwt,drop,no
relate,dummy,yes
age,dummy,yes
sex,dummy,yes
race,dummy,yes
marst,dummy,yes
popstat,dummy,yes
vetstat,dummy,yes
momloc,drop,no
momloc2,drop,no
momrule,drop,no
mom2rule,drop,no
poploc,drop,no
poploc2,drop,no
poprule,drop,no
pop2rule,drop,no
sploc,drop,no
sprule,drop,no
famsize,drop,yes
nchild,drop,yes
nchlt5,drop,yes
famunit,drop,yes
eldch,drop,yes
yngch,drop,yes
nsibs,drop,yes
aspouse,drop,no
pecohab,drop,no
pelnmom,drop,no
pelndad,drop,no
pemomtyp,dummy,yes
pedadtyp,dummy,yes
ftype,dummy,yes
famkind,dummy,yes
famrel,dummy,yes
bpl,drop,no
yrimmig,drop,yes
citizen,dummy,yes
mbpl,drop,no
fbpl,drop,no
nativity,dummy,yes
hispan,dummy,yes
empstat,dummy,yes
labforce,dummy,yes
occ,entityembed,yes
ind,dummy,yes
educ,dummy,yes
schlcoll,drop,no
diffhear,dummy,yes
diffeye,dummy,yes
